‌ অ্যান্ডেজ ‌	অ্যান্ডেজ
‌ জোবায়েরকে ‌	জোবায়ের
‌ কৌতূহলের ‌	কৌতূহল
‌ নূরে ‌	নূর
‌ ইঁদুরগুলোর ‌	ইঁদুরগুলো
‌ লোকবলেরও ‌	লোকবল
‌ ক্লাসেই ‌	ক্লাস
‌ উপাধ্যক্ষের ‌	উপাধ্যক্ষ
‌ নিয়ন্ত্রণব্যবস্থায় ‌	নিয়ন্ত্রণব্যবস্থা
‌ সিইএসে ‌	সিইএস
‌ কার্যক্রমেরও ‌	কার্যক্রম
‌ আচার্যের ‌	আচার্য
‌ ওবিসিদের ‌	ওবিসি
‌ সেনকে ‌	সেন
‌ পাঞ্জাবিই ‌	পাঞ্জাবি
‌ পাঞ্জাবিও ‌	পাঞ্জাবি
‌ স্পিনাররাও ‌	স্পিনার
‌ স্পিনাররাই ‌	স্পিনার
‌ বনেরই ‌	বন
‌ পাঞ্জাবির ‌	পাঞ্জাবি
‌ দরিদ্রদের ‌	দরিদ্র
‌ জহিরুলের ‌	জহিরুল
‌ কলকাতারই ‌	কলকাতা
‌ কাউসারকে ‌	কাউসার
‌ চাঁদাবাজিতে ‌	চাঁদাবাজি
‌ গণপরিবহনব্যবস্থারও ‌	গণপরিবহনব্যবস্থা
‌ গ্রেপসকে ‌	গ্রেপস
‌ কনোকোর ‌	কনোকো
‌ ওয়ালস্ট্রিটবিরোধীরা ‌	ওয়ালস্ট্রিটবিরোধী
‌ বিশ্বকাপটাতেই ‌	বিশ্বকাপ
‌ শিশুশ্রমিকের ‌	শিশুশ্রমিক
‌ বাসরঘরে ‌	বাসরঘর
‌ রুদ্রপলাশের ‌	রুদ্রপলাশ
‌ উদ্যোগগুলোর ‌	উদ্যোগ
‌ বিয়ামের ‌	বিয়াম
‌ রহমতগঞ্জের ‌	রহমতগঞ্জ
‌ কাওছারকে ‌	কাওছার
‌ বিক্ষোভকে ‌	বিক্ষোভ
‌ নাগরিকদের ‌	নাগরিক
‌ পার্কটির ‌	পার্ক
‌ ঋণবিক্রেতারা ‌	ঋণবিক্রেতা
‌ রেঞ্জারসের ‌	রেঞ্জারস
‌ আইএসপির ‌	আইএসপি
‌ স্বরাষ্ট্রমন্ত্রীদের ‌	স্বরাষ্ট্রমন্ত্রী
‌ দাবাতেও ‌	দাবা
‌ রশিদকে ‌	রশিদ
‌ সতসোবেই ‌	সতসোবে
‌ সাইটসেভারসের ‌	সাইটসেভারস
‌ কেশের ‌	কেশ
‌ হেনরিকে ‌	হেনরি
‌ নীড়ে ‌	নীড়
‌ ইটাগাছার ‌	ইটাগাছা
‌ ডলফিনের ‌	ডলফিন
‌ বিক্ষোভটি ‌	বিক্ষোভ
‌ বিক্ষোভটা ‌	বিক্ষোভ
‌ আমন্ত্রণকে ‌	আমন্ত্রণ
‌ প্রিন্সকে ‌	প্রিন্স
‌ সিপিআইএমের ‌	সিপিআইএম
‌ ফার্মাসিউটিক্যালসের ‌	ফার্মাসিউটিক্যালস
‌ ব্রিজটির ‌	ব্রিজ
‌ বিয়ারটা ‌	বিয়ার
‌ চাকরিকালের ‌	চাকরিকাল
‌ স্লোগানে ‌	স্লোগান
‌ মহড়াকক্ষে ‌	মহড়াকক্ষ
‌ আনন্দই ‌	আনন্দ
‌ প্রস্তাবসমূহ ‌	প্রস্তাব
‌ ট্রেনিংয়ের ‌	ট্রেনিং
‌ এনআইএলজির ‌	এনআইএলজি
‌ সেধেই ‌	সেধে
‌ পারভীনদের ‌	পারভীন
‌ ক্রোমের ‌	ক্রোম
‌ ঝোলটা ‌	ঝোল
‌ মিসবাহকে ‌	মিসবাহ
‌ হরতালেই ‌	হরতাল
‌ আরবিট্রেশনের ‌	আরবিট্রেশন
‌ শেঠিকে ‌	শেঠি
‌ হরতালেও ‌	হরতাল
‌ হরতালের ‌	হরতাল
‌ গাজাবাসীরা ‌	গাজাবাসী
‌ স্বাচিপই ‌	স্বাচিপ
‌ টোবাগোর ‌	টোবাগো
‌ বীজগণিতের ‌	বীজগণিত
‌ হাঙরের ‌	হাঙর
‌ আনন্দে ‌	আনন্দ
‌ পালের্মোরই ‌	পালের্মো
‌ টিকটিকির ‌	টিকটিকি
‌ ক্লাসটা ‌	ক্লাস
‌ চান্দিনায়ও ‌	চান্দিনা
‌ শুঁটকির ‌	শুঁটকি
‌ মওকুফসুবিধায় ‌	মওকুফসুবিধা
‌ মানুষগুলোকে ‌	মানুষ
‌ পাঞ্জাবের ‌	পাঞ্জাব
‌ কেন্দুলির ‌	কেন্দুলি
‌ বনেধর ‌	বনেধ
‌ বিয়ারকে ‌	বিয়ার
‌ আটলান্টিকের ‌	আটলান্টিক
‌ পাঞ্জাবেই ‌	পাঞ্জাব
‌ ক্রীড়ামোদীদের ‌	ক্রীড়ামোদী
‌ নিয়ন্ত্রণব্যবস্থাও ‌	নিয়ন্ত্রণব্যবস্থা
‌ গ্রেপ্তারকে ‌	গ্রেপ্তার
‌ ডিফেন্সে ‌	ডিফেন্স
‌ শিশুও ‌	শিশু
‌ শিশুই ‌	শিশু
‌ অধিনায়কত্বেই ‌	অধিনায়কত্ব
‌ শিক্ষাসফরে ‌	শিক্ষাসফর
‌ কলকাতাকে ‌	কলকাতা
‌ অপব্যবহারকে ‌	অপব্যবহার
‌ বিশ্বনাথকেই ‌	বিশ্বনাথ
‌ আমন্ত্রণটি ‌	আমন্ত্রণ
‌ কাউনের ‌	কাউন
‌ বড়ালের ‌	বড়াল
‌ অধিনায়কত্বেও ‌	অধিনায়কত্ব
‌ শিশুর ‌	শিশু
‌ অধিনায়কত্বের ‌	অধিনায়কত্ব
‌ জোবায়েরের ‌	জোবায়ের
‌ বাছাইয়ে ‌	বাছাই
‌ পাহাড়গুলোকে ‌	পাহাড়
‌ হাবলের ‌	হাবল
‌ জাপানিদের ‌	জাপানি
‌ প্যানাথিনাইকসকে ‌	প্যানাথিনাইকস
‌ গুপ্তহত্যার ‌	গুপ্তহত্যা
‌ প্লাটিনামের ‌	প্লাটিনাম
‌ রূপসজ্জায় ‌	রূপসজ্জা
‌ বৃত্তান্তে ‌	বৃত্তান্ত
‌ কালিয়াকৈরকে ‌	কালিয়াকৈর
‌ মাহবুবুরের ‌	মাহবুবুর
‌ পরিকল্পনাটিই ‌	পরিকল্পনা
‌ ক্রুয়েফের ‌	ক্রুয়েফ
‌ ধূমপায়ীদের ‌	ধূমপায়ী
‌ মহসিনের ‌	মহসিন
‌ সাহেদও ‌	সাহেদ
‌ নারায়ণের ‌	নারায়ণ
‌ স্বাচ্ছন্দ্যের ‌	স্বাচ্ছন্দ্য
‌ সিইওকে ‌	সিইও
‌ প্ল্যানকে ‌	প্ল্যান
‌ আলেকজান্ডারের ‌	আলেকজান্ডার
‌ হেনরিকের ‌	হেনরিক
‌ সেনার ‌	সেনা
‌ দাশগুপ্তও ‌	দাশগুপ্ত
‌ আলপনাকে ‌	আলপনা
‌ এমএসসির ‌	এমএসসি
‌ কিস্তিতে ‌	কিস্তি
‌ চিলাহাটিতে ‌	চিলাহাটি
‌ সুইমিংপুলের ‌	সুইমিংপুল
‌ ইউনিয়নগুলোতে ‌	ইউনিয়ন
‌ ফরিদকে ‌	ফরিদ
‌ অ্যাসেসমেন্টের ‌	অ্যাসেসমেন্ট
‌ মহসিনার ‌	মহসিনা
‌ মেজভিনস্কির ‌	মেজভিনস্কি
‌ সাহেবও ‌	সাহেব
‌ জীববৈচিত্র্যকে ‌	জীববৈচিত্র্য
‌ শিল্পকারখানাগুলোতে ‌	শিল্পকারখানা
‌ আকিহিতোর ‌	আকিহিতো
‌ সাহেবই ‌	সাহেব
‌ মাহবুবুলকে ‌	মাহবুবুল
‌ জুমারার ‌	জুমারা
‌ হাবলুর ‌	হাবলু
‌ এজাহারে ‌	এজাহার
‌ অনুষদটি ‌	অনুষদ
‌ বড়ালতে ‌	বড়াল
‌ পুরুষদেরই ‌	পুরুষ
‌ বুধভাকেই ‌	বুধভা
‌ প্রতিযোগীকে ‌	প্রতিযোগী
‌ পুরুষদেরও ‌	পুরুষ
‌ চাঁদাবাজিটা ‌	চাঁদাবাজি
‌ নৈশভোজের ‌	নৈশভোজ
‌ শ্মশানে ‌	শ্মশান
‌ বিশ্বব্যাংককেই ‌	বিশ্বব্যাংক
‌ তৌকীরকে ‌	তৌকীর
‌ সাকিনেহর ‌	সাকিনেহ
‌ কোস্টারটি ‌	কোস্টার
‌ সচলও ‌	সচল
‌ পুনঃক্রয়ের ‌	পুনঃক্রয়
‌ একীভবনের ‌	একীভবন
‌ শাখাকে ‌	শাখা
‌ ব্রহ্মপুত্রকে ‌	ব্রহ্মপুত্র
‌ দিহানের ‌	দিহান
‌ কোষে ‌	কোষ
‌ পোশাকগুলোতে ‌	পোশাক
‌ মন্দাকে ‌	মন্দা
‌ জলাধারগুলোকে ‌	জলাধার
‌ ফলমূলের ‌	ফলমূল
‌ বিসলাও ‌	বিসলা
‌ বিসলার ‌	বিসলা
‌ প্যাকার্ডের ‌	প্যাকার্ড
‌ নদীগর্ভের ‌	নদীগর্ভ
‌ রোমন্থনে ‌	রোমন্থন
‌ গবেষণাতেই ‌	গবেষণা
‌ পাঠাগারকে ‌	পাঠাগার
‌ বদলিতেও ‌	বদলি
‌ সতসোবের ‌	সতসোবে
‌ অ্যাওয়ার্ডসের ‌	অ্যাওয়ার্ডস
‌ চাঁদাবাজিকে ‌	চাঁদাবাজি
‌ উয়েফাকে ‌	উয়েফা
‌ ভাষ্যের ‌	ভাষ্য
‌ রাজাকারেরা ‌	রাজাকার
‌ পান্ডাদের ‌	পান্ডা
‌ বাউবির ‌	বাউবি
‌ ফাইয়াদের ‌	ফাইয়াদ
‌ শাখাটি ‌	শাখা
‌ সেনের ‌	সেন
‌ ইজারাদারেরা ‌	ইজারাদার
‌ নোটটি ‌	নোট
‌ সংকটে ‌	সংকট
‌ জয়পুরহাটের ‌	জয়পুরহাট
‌ সায়েমকে ‌	সায়েম
‌ তিথিতে ‌	তিথি
‌ প্ল্যানটা ‌	প্ল্যান
‌ সংকটও ‌	সংকট
‌ প্ল্যান্টেশনের ‌	প্ল্যান্টেশন
‌ সংকটই ‌	সংকট
‌ পরোপকারিতার ‌	পরোপকারিতা
‌ গোয়ালিয়রের ‌	গোয়ালিয়রে
‌ হারাগাছের ‌	হারাগাছ
‌ বাবলাগাছগুলো ‌	বাবলাগাছ
‌ ওটামেন্ডিকে ‌	ওটামেন্ডি
‌ শাসনবিধিতে ‌	শাসনবিধি
‌ লিডলেকে ‌	লিডলে
‌ শূন্যলোকে ‌	শূন্য
‌ কলেজটিকে ‌	কলেজ
